pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
11 Com b,11 Com,b,72437047,,4874,2.45,185.1787793,17.7932516,93.1846,3.8379,0.002030428,12.31838552,1.003590876,1
11 UMi b,11 UMi,b,230061010,,4213,1.93,229.2745954,71.8239428,125.321,3.82294,5.33E-05,16.25545529,1.090406365,1
14 And b,14 And,b,333225860,,4888,2.55,352.82415,39.2358367,75.4392,4.3214,0.002030428,12.80188552,1.014321253,1
14 Her b,14 Her,b,219483057,,5338,4.45,242.6021014,43.8163621,17.9323,5.8631,0.009409682,12.67861714,1.030013019,1
16 Cyg B b,16 Cyg B,b,27533327,,5750,4.36,295.4656422,50.5168243,21.1397,5.6281,0.021058311,11.5689957,1.052054905,1
17 Sco b,17 Sco,b,135596590,,4157,1.7,243.4620874,-11.8377905,124.953,3.97655,3.45E-05,16.88152558,1.000018036,1
18 Del b,18 Del,b,354489950,,4980,2.87,314.6078375,10.8391378,76.222,4.7181,0.003555543,12.59028981,1.002349714,1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,48964101,,4060,4,242.3762343,-21.0831403,139.135,11.1941,0.00012803,22.67527532,1.000018036,1
24 Boo b,24 Boo,b,441712711,,4816,2.28,217.1555242,49.8446488,95.9863,4.7812,0.001342439,13.71091793,1.013268845,1
24 Sex b,24 Sex,b,1713457,,5098,3.5,155.8684866,-0.9023998,72.0691,5.6416,0.005257817,13.08904097,1.010111175,1
2M0437 b,2MASS J04372171+2651014,b,125843782,,3100,4.5,69.3405531,26.8502997,128.484,13.0123,2.14E-05,26.43321207,1.009943297,1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,11614485,,3530,4.86,20.7128012,-24.6646128,33.8281,11.6243,7.27E-05,23.72026062,1.011979062,1
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,77111651,,3064,4.59,34.8427046,-39.4230767,40.0896412,13.4304,2.14E-05,26.85131207,1.001013307,1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,118893899,,2936,5.01,70.4371079,23.0308544,120.423987,17.1815,4.30E-06,32.34776031,1.002006864,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,102076870,,2825,5.03,181.8890906,-39.5484399,64.308,15.662,1.82E-06,31.76107636,1.001957862,1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,271164763,,29564,5.51,294.6359173,46.0664076,396.332,12.4561,1.030041309,14.17341793,1.038663615,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,200532605,,4045,4.62,339.1025931,47.861683,69.5737,11.1286,0.000148844,22.44622611,1.014363464,1
30 Ari B b,30 Ari B,b,22874788,,6331,4.43,39.2412736,24.6480103,44.657,6.604,0.051569566,11.57247085,1.008142251,1
4 UMa b,4 UMa,b,356478817,,4415,1.8,130.0528099,64.3280504,73.4603,3.5681,0.00016433,14.77826528,1.023426826,1
42 Dra b,42 Dra,b,233721425,,4200,1.71,276.4975053,65.5633652,90.6545,3.7535,3.45E-05,16.65847558,1.147733593,1
47 UMa b,47 UMa,b,21535479,,5872,4.3,164.8647611,40.4304931,13.7967,4.4698,0.028341784,10.08818658,1.015962651,1
51 Eri b,51 Eri,b,298810162,,7295,4.31,69.4007424,-2.4738245,29.7575,4.9574,0.128381673,8.935596965,1.008992866,1
51 Peg b,51 Peg,b,139298196,,5758,4.31,344.3675399,20.7690958,15.4614,4.8576,0.024815205,10.62025988,1.014066757,1
55 Cnc b,55 Cnc,b,332064670,,5172,4.43,133.1468373,28.3298154,12.5855,5.2058,0.007369336,12.2866837,1.041802907,1
6 Lyn b,6 Lyn,b,444865362,,4941,3.16,97.6960311,58.1611753,54.6599,5.0436,0.002473773,13.30965491,1.017877176,1
61 Vir b,61 Vir,b,422478973,,5577,4.34,199.596455,-18.3157745,8.50332,4.085,0.017380802,10.23428,1.023870046,1
7 CMa b,7 CMa,b,48237215,,4826,3.19,99.171276,-19.2561808,19.8101,3.0677,0.001735806,11.71840173,1.018813731,1
70 Vir b,70 Vir,b,95473936,,5495,3.95,202.1064898,13.7763085,17.9011,4.2943,0.014066748,10.67327026,1.008472425,1
75 Cet b,75 Cet,b,251095345,,4809,2.69,38.0391598,-1.0350269,82.9613,4.5054,0.001342439,13.43511793,1.009314611,1
8 UMi b,8 UMi,b,257005016,,4847,2.57,224.201685,74.9009379,162.552,5.96761,0.001342439,14.89732793,1.019274642,1
81 Cet b,81 Cet,b,35725282,,4734,2.41,39.4243555,-3.3963607,101.26,4.77853,0.000928512,14.10851562,1.000018036,1
91 Aqr b,91 Aqr,b,4610441,,4665,2.52,348.9745031,-9.0878076,44.0304,3.3221,0.000928512,12.65208562,1.009439061,1
AB Aur b,AB Aur,b,96680681,,9770,3.77,73.9410446,30.5510888,162.127,6.94321,0.473415775,9.504557726,1.005088135,1
AB Pic b,AB Pic,b,260351540,,5285,4.53,94.8039208,-58.0541184,50.0475,8.2763,0.009409682,15.09181714,1.183009614,1
AF Lep b,AF Lep,b,94945758,,6130,4.4,81.7699216,-11.9011752,26.8564,5.7932,0.039384015,11.05435457,1.01647137,1
AU Mic b,AU Mic,b,441420236,0.2379,3665,4.4,311.2911369,-31.34245,9.7221,6.755,9.34E-05,18.57908301,1.017359503,1
BD+03 2562 b,BD+03 2562,b,366659915,,4095,1.89,177.5647268,2.7601075,1070.63,8.2014,3.79E-05,21.00399138,1.014514759,1
BD+14 4559 b,BD+14 4559,b,230183006,,4864,4.26,318.4010002,14.6893834,49.352,8.7505,0.003133417,16.75990914,1.000018036,1
BD+15 2375 b,BD+15 2375,b,82604982,,4649,2.61,176.4820239,14.6163182,768.045,9.3605,0.000573481,19.21365616,1.004184639,1
BD+15 2940 b,BD+15 2940,b,393702609,,4796,2.8,240.09564,15.5467507,426.42,8.1004,0.001735806,16.75110173,1.001164806,1
BD+20 2457 b,BD+20 2457,b,95359428,,4137,1.51,154.186782,19.8912626,1539.71,8.4752,2.20E-05,21.8664033,1.004733819,1
BD+20 274 b,BD+20 274,b,60923874,,4296,1.99,25.9203179,21.0052692,1322.51,8.1716,8.95E-05,20.04090512,1.030875878,1
BD+20 594 b,BD+20 594,b,26123781,0.049,5766,4.5,53.6511231,20.5990205,179.461,10.4021,0.024815205,16.16475988,1.005972174,1
BD+45 564 b,BD+45 564,b,292607437,,5004,4.22,32.9470485,45.9242187,53.622,8.8588,0.004279353,16.52980933,1.001429664,1
BD+48 738 b,BD+48 738,b,302069358,,4414,2.24,40.7102869,49.5869395,871.493,7.8885,0.00016433,19.09866528,1.000572875,1
BD+48 740 b,BD+48 740,b,302070274,,4534,2.48,40.7425426,48.9300579,666.589,7.5248,0.000354107,17.90141721,1.000021248,1
BD+49 828 b,BD+49 828,b,116376059,,4943,2.85,45.6406187,49.7299481,442.042,8.32678,0.002473773,16.59283491,1.000572859,1
BD+55 362 b,BD+55 362,b,453226076,,5012,4.09,23.9636676,56.6982282,52.5697,8.6036,0.004279353,16.27460933,1.000626362,1
BD+60 1417 b,BD+60 1417,b,159527171,,4993,4.55,190.8875453,60.0143636,44.9543,8.6054,0.004275546,16.2773755,1.009503064,1
BD+63 1405 b,BD+63 1405,b,233075841,,5000,4.2,271.3979337,63.6700064,38.0473,8.1519,0.004279353,15.82290933,1.027534635,1
BD-00 4475 b,BD-00 4475,b,262567433,,5040,4.25,347.7108441,0.4085612,42.6402,8.2452,0.004279353,15.91620933,1.001505497,1
BD-06 1339 b,BD-06 1339,b,66914642,,4324,4.74,88.2511811,-5.9963378,20.2695,8.2906,0.000273532,18.9475357,1.000939219,1
BD-08 2823 b,BD-08 2823,b,33355302,,4816,4.43,150.1971964,-9.5165689,41.3342,8.86,0.002163516,17.27155435,1.003130388,1
BD-10 3166 b,BD-10 3166,b,148563075,,5393,4.69,164.6191243,-10.7704227,84.4069,9.3253,0.011614402,15.91226244,1.001918689,1
BD-11 4672 b,BD-11 4672,b,217831699,,4550,4.64,278.3688659,-11.6370481,27.1665,8.7204,0.0005966,18.5306463,1.000018036,1
BD-13 2130 b,BD-13 2130,b,288474555,,4545,2.2,114.2884692,-13.9066703,925.214,8.999,0.000277037,19.64210987,1.007993312,1
BD-17 63 b,BD-17 63,b,75377076,,4714,4.26,7.1413494,-16.2273254,34.4603,8.5246,0.001455741,17.36634461,1.000018036,1
BD-210397 b,BD-210397,b,268804174,,4051,4.67,33.3024198,-21.1962147,23.7324,8.4502,0.000174727,19.59375572,1.00214936,1
CD Cet b,CD Cet,b,328465904,,3130,4.93,48.3530155,4.7751881,8.60715,10.6701,1.58E-05,24.42259839,1.007037822,1
